Category,SubCategory,CatID,CatShort,Explanations,Synonyms - Comma Separated,Category_fr,SubCategory_fr,Category_pl,SubCategory_pl,Category_de,SubCategory_de,Category_pt,SubCategory_pt,Category_pt-br,SubCategory_pt-br,Category_zh,SubCategory_zh,Category_tw,SubCategory_tw,Category_es,SubCategory_es,Category_ja,SubCategory_ja,Category_no,SubCategory_no,Category_da,SubCategory_da,Category_sv,SubCategory_sv,Category_fi,SubCategory_fi,Category_ru,SubCategory_ru,Category_ua,SubCategory_ua,Category_it,SubCategory_it,Category_nl,SubCategory_nl
CREATURES,DRAGON,CREADrgn,CREA,"Game of Thrones, Lord of the Rings, dragons of all types.","dragon, drake, wyvern",CRÉATURES,DRAGON,STWORY,SMOK,KREATUR,DRACHEN,CRIATURAS,DRAGÃO,CRIATURAS,DRAGÃO,生物,龙,生物,龍,CRIATURAS,DRAGÓN,想像上の生物,ドラゴン,VESEN,DRAGE,VÆSNER/SKABNINGER,DRAGE,VARELSER,DRAKE,OLIO,LOHIKÄÄRME,СУЩЕСТВА,ДРАКОН,ІСТОТИ,ДРАКОН,CREATURE,DRAGONE,WEZENS,
CREATURES,ELEMENTAL,CREAElem,CREA,"Creatures based on elements, rock giants, fire creatures, ice monsters, such a the Balrog, or a Rock Giant.","rock monster, fire monster, ice monster, rock giant, ice giant, golem",CRÉATURES,ÉLÉMENTAIRE,STWORY,ŻYWIOŁY,KREATUR,ELEMENTAR,CRIATURAS,ELEMENTAL,CRIATURAS,ELEMENTAL,生物,奇幻生物,生物,奇幻,CRIATURAS,ORGÁNICA,想像上の生物,エレメンツ,VESEN,ELEMENTÅND,VÆSNER/SKABNINGER,ELEMENT,VARELSER,NATURELEMENT,OLIO,ELEMENTAALINEN,СУЩЕСТВА,СОСТАВНЫЕ,ІСТОТИ,СКЛАДОВІ,CREATURE,ELEMENTALE,WEZENS,
CREATURES,ETHEREAL,CREAEthr,CREA,"Ghosts, spirits, ethereal vocals and wispy movement, apparitions.","ghosts, spirits, ethereal, wispy, spectre, soul, apparition, spectral, poltergeist, phantom, wraith",CRÉATURES,FANTÔME,STWORY,DUCH,KREATUR,GEIST,CRIATURAS,ETÉREA,CRIATURAS,ETÉREA,生物,鬼魂,生物,鬼魂,CRIATURAS,FANTASMAL,想像上の生物,幽霊、ゴースト,VESEN,SPØKELSE,VÆSNER/SKABNINGER,SPØGELSE,VARELSER,SPÖKE,OLIO,HAAMU,СУЩЕСТВА,БЕСПЛОТНЫЕ,ІСТОТИ,БЕЗТІЛЕСНІ,CREATURE,ETEREO,WEZENS,SPOOK
CREATURES,HUMANOID,CREAHmn,CREA,"Human sized mythical creatures, so zombies and vampires, elves etc. Troll, Ogres, Orcs. Two legged creatures.","zombie, undead, living dead, ghoul, vampire, elf, orcs, ogre, troll, tengu, leprechaun, bigfoot, swamp thing, werewolf, frankenstein, mummy",CRÉATURES,HUMANOÏDE,STWORY,HUMANOIDALNE,KREATUR,HUMANOID,CRIATURAS,HUMANÓIDE,CRIATURAS,HUMANÓIDE,生物,类人生物,生物,類人,CRIATURAS,HUMANOIDE,想像上の生物,アンドロイド,VESEN,MENNESKLIG,VÆSNER/SKABNINGER,MENNESKELIGNENDE,VARELSER,MÄNNISKOLIK,OLIO,HUMANOIDI,СУЩЕСТВА,ЧЕЛОВЕКООБРАЗНЫЕ,ІСТОТИ,ЛЮДИНОПОДІБНІ,CREATURE,UMANOIDE,WEZENS,
CREATURES,INSECTOID,CREAInsc,CREA,Giant spiders or other insect like creatures. The creature from The Fly.,"giant ant, giant spider",CRÉATURES,INSECTOÏDE,STWORY,INSEKTOPODOBNE,KREATUR,INSEKTOID,CRIATURAS,INSETÓIDE,CRIATURAS,INSETÓIDE,生物,巨型昆虫,生物,巨型昆蟲,CRIATURAS,INSECTOIDE,想像上の生物,昆虫型,VESEN,INSEKT,VÆSNER/SKABNINGER,INSEKTLIGNENDE,VARELSER,INSEKTSLIK,OLIO,HYÖNTEINEN,СУЩЕСТВА,НАСЕКОМОПОДОБНЫЙ,ІСТОТИ,КОМАХОПОДІБНИЙ,CREATURE,INSETTOIDE,WEZENS,
CREATURES,MONSTER,CREAMnstr,CREA,"Godzilla, scary monsters, horror monsters.","godzilla, king kong, rancor, behemoth, xenomorph, chupacabra",CRÉATURES,MONSTRES,STWORY,POTWÓR,KREATUR,MONSTER,CRIATURAS,MONSTRO,CRIATURAS,MONSTRO,生物,怪兽,生物,怪獸,CRIATURAS,MONSTRUO,想像上の生物,モンスター、怪物,VESEN,MONSTER,VÆSNER/SKABNINGER,UHYRE,VARELSER,MONSTER,OLIO,HIRVIÖ,СУЩЕСТВА,МОНСТР,ІСТОТИ,МОНСТР,CREATURE,MOSTRO,WEZENS,MONSTER
CREATURES,REPTILIAN,CREARept,CREA,"Giant lizards and snakes, large giant hissing monsters.","serpent, serpentine, giant lizard, giant snake",CRÉATURES,REPTILE,STWORY,GAD,KREATUR,REPTILARTIG,CRIATURAS,REPTILIANA,CRIATURAS,REPTILIANA,生物,巨型爬虫,生物,巨型爬蟲,CRIATURAS,REPTILOIDE,想像上の生物,ヒト型爬虫類,VESEN,REPTIL,VÆSNER/SKABNINGER,REPTIL,VARELSER,REPTIL,OLIO,MATELIJA,СУЩЕСТВА,ПРЕСМЫКАЮЩИЕСЯ,ІСТОТИ,ПЛАЗУНИ,CREATURE,RETTILIANO,WEZENS,
CREATURES,SMALL,CREASmall,CREA,"Specifically small mythical creatures. Fairies, pixies, small rodent like creatures, etc. Distinguished by small size.","fairy, pixie, gremlin, imp, fraggle",CRÉATURES,PETITE,STWORY,MAŁE,KREATUR,KLEIN,CRIATURAS,PEQUENA,CRIATURAS,PEQUENA,生物,小型奇幻生物,生物,小型奇幻,CRIATURAS,PEQUEÑAS,想像上の生物,小型、妖精,VESEN,SMÅ,VÆSNER/SKABNINGER,LILLE,VARELSER,LITEN,OLIO,PIENI,СУЩЕСТВА,НЕБОЛЬШИЕ,ІСТОТИ,НЕВЕЛИКІ,CREATURE,PICCOLO,WEZENS,
CREATURES,SOURCE,CREASrce,CREA,"Source recordings meant for creature design, like prop recordings, human voice packs for design, etc.","bark, breath, call, caw, squawk, chitter, click, cry, effort, grunt, hiss, howl, growl, snarl, guttural, moan, groan, mouth, roar, scream, screech, squeal, whine",CRÉATURES,SOURCE,STWORY,MATERIAŁY ŹRÓDŁOWE,KREATUR,EINZELELEMENT,CRIATURAS,BRUTO,CRIATURAS,BRUTO,生物,原始录音,生物,原始素材,CRIATURAS,BRUTO,想像上の生物,イメージ音,VESEN,KILDE,VÆSNER/SKABNINGER,KILDE,VARELSER,RÅMATERIAL,OLIO,SOURCE,СУЩЕСТВА,ДЛЯ ЗВУКОВОГО ДИЗАЙНА,ІСТОТИ,ДЛЯ ЗВУКОВОГО ДИЗАЙНУ,CREATURE,FONTE,WEZENS,
CREATURES,AVIAN,CREAAvian,CREA,"Alien or Fantasy birds, or weird birdlike creatures. A giant mutant parakeet would go here.","alien birds, extraterrestrial birds, fantasy birds",CRÉATURES,VOLANTE,STWORY,LATAJĄCE,KREATUR,FLUGFÄHIG,CRIATURAS,AVES,CRIATURAS,AVES,生物,奇幻禽类,生物,奇幻禽類,CRIATURAS,AVIAR,想像上の生物,鳥型,VESEN,FUGL,VÆSNER/SKABNINGER,FLYVENDE,VARELSER,FLYGANDE,OLIO,LINTU,СУЩЕСТВА,ПТИЧИЕ,ІСТОТИ,ПТАШИНІ,CREATURE,AVIARIO,WEZENS,
CROWDS,MISC,CRWDMisc,CRWD,Crowd sounds not fitting another category in this list,,FOULES,DIVERS,TŁUM,RÓŻNE,MENSCHENMENGE,DIV,GRUPO,DIVERSOS,GRUPO,DIVERSOS,人群,其他,群衆,其他,MULTITUD,MISCELÁNEA,群集、人混み,その他,FOLKEMENGDE,DIVERSE,FOLKEMÆNGDE,DIVERSE,FOLKSAMLINGAR,DIVERSE,IHMISJOUKOT,SEKALAINEN,ГРУППА ЛЮДЕЙ,РАЗНОЕ,ГРУПА ЛЮДЕЙ,РІЗНЕ,FOLLE,MISC,MENIGTE,DIVERSEN
CROWDS,ANGRY,CRWDAngr,CRWD,"Crowds of upset or angry people, as in a riot, protest, a schoolyard fight.","hooligan, riot, protest, shout, rowdy",FOULES,EN COLÈRE,TŁUM,ROZGNIEWANY,MENSCHENMENGE,,GRUPO,RAIVA,GRUPO,RAIVA,人群,愤怒,群衆,憤怒,MULTITUD,ENFADADA,群集、人混み,怒り、怒号,FOLKEMENGDE,SINT,FOLKEMÆNGDE,VREDE,FOLKSAMLINGAR,ILSKA,IHMISJOUKOT,VIHAINEN,ГРУППА ЛЮДЕЙ,СЕРДИТЫЕ,ГРУПА ЛЮДЕЙ,СЕРДИТІ,FOLLE,ARRABIATO,MENIGTE,
CROWDS,APPLAUSE,CRWDApls,CRWD,Crowds where the applause is predominantly featured. Use CROWDS-CHEERING that are mainly vocals.,"applause, cheer, clapping, encore",FOULES,APPLAUDISSEMENT,TŁUM,BRAWA,MENSCHENMENGE,APPLAUS,GRUPO,APLAUSO,GRUPO,APLAUSO,人群,喝彩,群衆,掌聲,MULTITUD,APLAUSOS,群集、人混み,拍手,FOLKEMENGDE,APPLAUS,FOLKEMÆNGDE,BIFALD,FOLKSAMLINGAR,APPLÅD,IHMISJOUKOT,APLODIT,ГРУППА ЛЮДЕЙ,АПЛОДИСМЕНТЫ,ГРУПА ЛЮДЕЙ,ОПЛЕСКИ,FOLLE,APPLAUSO,MENIGTE,APPLAUS
CROWDS,BATTLE,CRWDBatl,CRWD,"Crowds in battle, fighting, yelling screaming, dying. If including gunfire, explosions. use AMBIENCE-WARFARE","battle cries, shout, charge, rally, army, battle, scuffle, war, screaming, dying",FOULES,BATAILLE,TŁUM,BITWA,MENSCHENMENGE,KAMPF,GRUPO,BATALHA,GRUPO,BATALHA,人群,打斗,群衆,打鬥,MULTITUD,BATALLA,群集、人混み,戦い、戦闘,FOLKEMENGDE,KAMP,FOLKEMÆNGDE,KAMP,FOLKSAMLINGAR,KAMP,IHMISJOUKOT,TAISTELU,ГРУППА ЛЮДЕЙ,ДРАКА,ГРУПА ЛЮДЕЙ,БІЙКА,FOLLE,BATTAGLIA,MENIGTE,STRIJD
CROWDS,CELEBRATION,CRWDCele,CRWD,"Crowds celebrating holidays, parties, rowdy crowds. If not clean, use AMBIENCE-CELEBRATION","celebrating, holiday, party, rowdy, birthday, new years, christmas, parade",FOULES,FÊTE,TŁUM,ŚWIĘTOWANIE,MENSCHENMENGE,FEIER,GRUPO,CELEBRAÇÃO,GRUPO,CELEBRAÇÃO,人群,庆祝,群衆,慶祝,MULTITUD,CELEBRACIÓN,群集、人混み,祝福、祝い,FOLKEMENGDE,FEIRING,FOLKEMÆNGDE,FEJRING,FOLKSAMLINGAR,FIRANDE,IHMISJOUKOT,JUHLA,ГРУППА ЛЮДЕЙ,ПРАЗДНИК,ГРУПА ЛЮДЕЙ,СВЯТО,FOLLE,CELEBRAZIONE,MENIGTE,VIERING
CROWDS,CHEERING,CRWDCheer,CRWD,"Could include applause, but cheering crowds where the crowd vocals are predominant.","cheering, concert, stadium, audience, whooping, swells, chants",FOULES,ACCLAMATION,TŁUM,OWACJA,MENSCHENMENGE,JUBEL,GRUPO,TORCIDA,GRUPO,CLAQUE,人群,欢呼,群衆,歡呼,MULTITUD,VÍTORES,群集、人混み,応援,FOLKEMENGDE,JUBEL,FOLKEMÆNGDE,JUBEL,FOLKSAMLINGAR,JUBEL,IHMISJOUKOT,HURRAUS,ГРУППА ЛЮДЕЙ,ОВАЦИЯ,ГРУПА ЛЮДЕЙ,ОВАЦІЯ,FOLLE,INCORAGGIAMENTO,MENIGTE,JUICHEN
CROWDS,CHILDREN,CRWDChld,CRWD,"Relatively clean vocals of children together, playing in a playground, in a school classroom, recess, school hallway","playground, recess, kids playing, park, play, tag",FOULES,ENFANTS,TŁUM,DZIECI,MENSCHENMENGE,KINDER,GRUPO,CRIANÇAS,GRUPO,CRIANÇAS,人群,儿童,群衆,兒童,MULTITUD,NIÑOS,群集、人混み,子供,FOLKEMENGDE,BARN,FOLKEMÆNGDE,BØRN,FOLKSAMLINGAR,BARN,IHMISJOUKOT,LAPSET,ГРУППА ЛЮДЕЙ,ДЕТИ,ГРУПА ЛЮДЕЙ,ДІТИ,FOLLE,BAMBINI,MENIGTE,KINDEREN
CROWDS,CONVERSATION,CRWDConv,CRWD,"A small enough group chat that you can discern words, smaller and less active than a walla. A chatter..","chatter, chat, talk, sparse walla, converse, conversation",FOULES,CONVERSATION,TŁUM,ROZMOWA,MENSCHENMENGE,,GRUPO,CONVERSA,GRUPO,CONVERSA,人群,谈话,群衆,談話,MULTITUD,CONVERSACIÓN,群集、人混み,会話,FOLKEMENGDE,SAMTALE,FOLKEMÆNGDE,SAMTALE,FOLKSAMLINGAR,SAMTAL,IHMISJOUKOT,KESKUSTELU,ГРУППА ЛЮДЕЙ,РАЗГОВОР,ГРУПА ЛЮДЕЙ,РОЗМОВА,FOLLE,CONVERSAZIONE,MENIGTE,
CROWDS,LAUGHTER,CRWDLaff,CRWD,"Crowds laughing, a comedy show, canned television laughter, groups of kids laughing, at a party for example.","tv show, canned laughter, comedy club, laugh track",FOULES,RIRE,TŁUM,ŚMIECH,MENSCHENMENGE,LACHEN,GRUPO,RISADA,GRUPO,RISO,人群,笑,群衆,笑,MULTITUD,RISAS,群集、人混み,笑い,FOLKEMENGDE,LATTER,FOLKEMÆNGDE,LATTER,FOLKSAMLINGAR,SKRATT,IHMISJOUKOT,NAURU,ГРУППА ЛЮДЕЙ,СМЕХ,ГРУПА ЛЮДЕЙ,СМІХ,FOLLE,RISATA,MENIGTE,LACHEN
CROWDS,LOOP GROUP,CRWDLoop,CRWD,"For loop group type walla, usually performed for or to picture, specific environments, specific callouts.","loop group, adr, canned",FOULES,AMBIANCE POST-SYNCHRO,TŁUM,GWAR STUDYJNY,MENSCHENMENGE,LOOP GROUP,GRUPO,LOOP GROUP,GRUPO,LOOP GROUP,人群,循环群杂,群衆,循環群雜,MULTITUD,GRUPO EN BUCLE,群集、人混み,ループ,FOLKEMENGDE,LOOP GROUP,FOLKEMÆNGDE,LOOP GROUP,FOLKSAMLINGAR,STÖDREPLIKER,IHMISJOUKOT,WALLARYHMÄ,ГРУППА ЛЮДЕЙ,СТУДИЙНАЯ ЗАПИСЬ,ГРУПА ЛЮДЕЙ,СТУДІЙНИЙ ЗАПИС,FOLLE,LOOP GROUP,MENIGTE,LOOP GROEP
CROWDS,PANIC,CRWDPanic,CRWD,"Distressed crowds, mixed screams and crying and reactions… crowds in a natural disaster or crowds in a giant monster attack...","panic, chaos, shout, scream, cry, distress",FOULES,PANIQUE,TŁUM,PANIKA,MENSCHENMENGE,PANIK,GRUPO,PÂNICO,GRUPO,PÂNICO,人群,恐惧,群衆,恐懼,MULTITUD,PÁNICO,群集、人混み,パニック,FOLKEMENGDE,PANIKK,FOLKEMÆNGDE,PANIK,FOLKSAMLINGAR,PANIK,IHMISJOUKOT,PANIIKKI,ГРУППА ЛЮДЕЙ,ПАНИКА,ГРУПА ЛЮДЕЙ,ПАНІКА,FOLLE,PANICO,MENIGTE,
CROWDS,QUIET,CRWDQuiet,CRWD,"Very quiet crowds, mostly mumbling or murmuring. Like crowds whispering in church or a courtroom scene.","murmur, whispering, hushing, mumbling",FOULES,CALME,TŁUM,CICHY,MENSCHENMENGE,LEISE ANWESENHEIT,GRUPO,QUIETO,GRUPO,SILENCIOSO,人群,安静,群衆,安靜,MULTITUD,TRANQUILA,群集、人混み,静寂,FOLKEMENGDE,STILLE,FOLKEMÆNGDE,STILLE,FOLKSAMLINGAR,TYST,IHMISJOUKOT,HILJAINEN,ГРУППА ЛЮДЕЙ,ТИХАЯ,ГРУПА ЛЮДЕЙ,ТИХА,FOLLE,TRANQUILLO,MENIGTE,
CROWDS,REACTION,CRWDReac,CRWD,"Big Ooos, and Aaahs and Booos, big group responses to events happening.","boo, ahh, ooh, studio reaction",FOULES,RÉACTION,TŁUM,REAKCJA,MENSCHENMENGE,REAKTION,GRUPO,REAÇÃO,GRUPO,REAÇÃO,人群,反应,群衆,反應,MULTITUD,REACCIÓN,群集、人混み,反応、リアクション,FOLKEMENGDE,REAKSJONER,FOLKEMÆNGDE,REAKTION/REAGERE,FOLKSAMLINGAR,REAKTION,IHMISJOUKOT,REAKTIO,ГРУППА ЛЮДЕЙ,РЕАКЦИЯ,ГРУПА ЛЮДЕЙ,РЕАКЦІЯ,FOLLE,REAZIONE,MENIGTE,REACTIE
CROWDS,SINGING,CRWDSing,CRWD,"Singing during sporting events, New Year's Eve crowds singing Auld Lang Syne, Christmas carols. Not large CHORAL MUSIC.","chant, choir, chorale, carol",FOULES,CHANT,TŁUM,ŚPIEW,MENSCHENMENGE,SINGEN,GRUPO,CANTANDO,GRUPO,CÂNTICO,人群,歌唱,群衆,歌唱,MULTITUD,CANTICOS,群集、人混み,歌う、歌唱,FOLKEMENGDE,SANG,FOLKEMÆNGDE,SYNGE,FOLKSAMLINGAR,SÅNG,IHMISJOUKOT,LAULU,ГРУППА ЛЮДЕЙ,ПЕНИЕ,ГРУПА ЛЮДЕЙ,СПІВ,FOLLE,CORO,MENIGTE,ZINGEN
CROWDS,SPORT,CRWDSprt,CRWD,"Clean crowds at sporting events, Baseball, football. For mixed ambience used AMBIENCE-SPORT.","applause, clapping, boo, cheer, stadium, yay, audience, olympics, shouting, woohoo",FOULES,SPORT,TŁUM,SPORT,MENSCHENMENGE,SPORT,GRUPO,ESPORTE,GRUPO,DESPORTO,人群,运动,群衆,運動,MULTITUD,DEPORTE,群集、人混み,スポーツ,FOLKEMENGDE,IDRETT,FOLKEMÆNGDE,SPORT,FOLKSAMLINGAR,SPORT,IHMISJOUKOT,URHEILU,ГРУППА ЛЮДЕЙ,СПОРТ,ГРУПА ЛЮДЕЙ,СПОРТ,FOLLE,SPORT,MENIGTE,SPORT
CROWDS,WALLA,CRWDWalla,CRWD,"Specifically very clean crowd walla, with non-discernible words.","voices, talk, walla, conversation",FOULES,WALLA,TŁUM,WALLA,MENSCHENMENGE,WALLA,GRUPO,WALLA,GRUPO,WALLA,人群,群杂,群衆,群雜,MULTITUD,WALLA,群集、人混み,エキストラ,FOLKEMENGDE,SORL,FOLKEMÆNGDE,CONTENTUM,FOLKSAMLINGAR,SORL,IHMISJOUKOT,WALLA,ГРУППА ЛЮДЕЙ,ФОНОВЫЕ,ГРУПА ЛЮДЕЙ,ФОНОВІ,FOLLE,BRUSIO,MENIGTE,GEROESEMOES
DESIGNED,MISC,DSGNMisc,DSGN,Designed sounds not fitting another category in this list.,,DESIGN,DIVERS,DESIGNED,RÓŻNE,SOUND DESIGN,DIV,DESIGNED,DIVERSOS,DESIGNED,DIVERSOS,声音设计,其他,設計,其他,DISEÑO,MISCELÁNEA,デザイン、効果,その他,DESIGNET,DIVERSE,DESIGNET,DIVERSE,LJUDDESIGN,DIVERSE,DESIGN,SEKALAINEN,ЗВУКОВОЙ ДИЗАЙН,РАЗНОЕ,ЗВУКОВИЙ ДИЗАЙН,РІЗНЕ,SPECIALI,MISC,ONTWORPEN,
DESIGNED,BASS DIVE,DSGNBass,DSGN,Deep descending bass notes. Bass Drops.,"bass dive, downer, bass drop, fall",DESIGN,BASS DIVE,DESIGNED,OPADAJĄCY BAS,SOUND DESIGN,BASS SOUNDS,DESIGNED,DESCENDENTE,DESIGNED,DESCENDENTE,声音设计,低频下潜,設計,低頻下潛,DISEÑO,NOTAS GRAVES,デザイン、効果,ベース、低音,DESIGNET,BASS NEDGANG,DESIGNET,DYKKENDE BASS,LJUDDESIGN,BASTON FALLANDE,DESIGN,BASS DIVE,ЗВУКОВОЙ ДИЗАЙН,НИЗКОЧАСТОТНОЕ ПОГРУЖЕНИЕ,ЗВУКОВИЙ ДИЗАЙН,НИЗЬКОЧАСТОТНЕ ЗАНУРЕННЯ,SPECIALI,BASSI,ONTWORPEN,BAS DUIK
DESIGNED,BOOM,DSGNBoom,DSGN,"Deep short and tight, low end stingers, big trailer deep hits. LFE type low end sweeteners.","boom, deep hit, low sting, trailer",DESIGN,BOOM,DESIGNED,BOOM,SOUND DESIGN,BOOM,DESIGNED,BOOM,DESIGNED,BOOM,声音设计,低频轰鸣,設計,低頻轟鳴,DISEÑO,BOOM,デザイン、効果,重低音、サブソニック,DESIGNET,SMELL,DESIGNET,BOOM,LJUDDESIGN,BOOM,DESIGN,JYMÄHDYS,ЗВУКОВОЙ ДИЗАЙН,НИЗКОЧАСТОТНЫЙ УДАР,ЗВУКОВИЙ ДИЗАЙН,НИЗЬКОЧАСТОТНИЙ УДАР,SPECIALI,BOTTO,ONTWORPEN,
DESIGNED,BRAAM,DSGNBram,DSGN,"Long deep horn like sounds. Like a War of the World's type long sound, or like a long french horn braam type sound.",bramm,DESIGN,BRAAM,DESIGNED,BRAAM,SOUND DESIGN,BRAAM,DESIGNED,BRAAM,DESIGNED,BRAAM,声音设计,低频号角,設計,低頻號角,DISEÑO,BRAAAM,デザイン、効果,衝撃持続音,DESIGNET,BRAAM,DESIGNET,BRAMM,LJUDDESIGN,BRAAM,DESIGN,TORVI,ЗВУКОВОЙ ДИЗАЙН,ГОРН,ЗВУКОВИЙ ДИЗАЙН,ГОРН,SPECIALI,BRAAM,ONTWORPEN,
DESIGNED,DRONE,DSGNDron,DSGN,"Designed drones, eerie tense drones, long stylized sounds with not much activity or movement.","pad, drone, texture, ominous, tension",DESIGN,DRONE,DESIGNED,DRONE,SOUND DESIGN,DRONE,DESIGNED,DRONE,DESIGNED,DRONE,声音设计,低音氛围,設計,低音氛圍,DISEÑO,DRONE,デザイン、効果,ドローン,DESIGNET,DRONE,DESIGNET,DRONE,LJUDDESIGN,DRONE,DESIGN,DRONE,ЗВУКОВОЙ ДИЗАЙН,ДРОН,ЗВУКОВИЙ ДИЗАЙН,ДРОН,SPECIALI,DRONE,ONTWORPEN,DRONE
DESIGNED,EERIE,DSGNErie,DSGN,"Often designed, but tense strange undefined sounds that are eerie, tense, suspenseful.","spooky, tense, strange, creepy, scary, chilling, haunting, freaky, frightful, ",DESIGN,INQUIÉTANT,DESIGNED,STRASZNE,SOUND DESIGN,UNHEIMLICH,DESIGNED,MISTERIOSO,DESIGNED,MISTERIOSO,声音设计,毛骨悚然的,設計,毛骨悚然的,DISEÑO,SUSPENSE,デザイン、効果,デザイン系持続音,DESIGNET,UHYGGELIG,DESIGNET,UHYGGELIG,LJUDDESIGN,OLYCKSBÅDANDE,DESIGN,AAVEMAINEN,ЗВУКОВОЙ ДИЗАЙН,ЖУТКИЕ,ЗВУКОВИЙ ДИЗАЙН,МОТОРОШНІ,SPECIALI,ANGOSCIOSO,ONTWORPEN,
DESIGNED,ETHEREAL,DSGNEthr,DSGN,"Ethereal wispy designed sounds. Ghostlike whispers, or heavenly tones. Otherworldly.","ethereal, celestial",DESIGN,ÉTHÉRÉ,DESIGNED,PARANORMALNE,SOUND DESIGN,ÄTHERISCH,DESIGNED,ETÉREO,DESIGNED,ETÉREO,声音设计,鬼魅飘渺,設計,鬼魅飄渺,DISEÑO,ABSTRACTO,デザイン、効果,異次元,DESIGNET,OVERJORDISK,DESIGNET,OVERJORDISK,LJUDDESIGN,SPÖKLIK,DESIGN,ETEERINEN,ЗВУКОВОЙ ДИЗАЙН,ВОЗДУШНЫЕ,ЗВУКОВИЙ ДИЗАЙН,ПОВІТРЯНІ,SPECIALI,ETEREO,ONTWORPEN,ETHERISCH
DESIGNED,RISER,DSGNRise,DSGN,"Tension risers, things rising in tone, something similar to a rising string line to create tension.","reverse, crescendo, rizer, riser, tension",DESIGN,RISER,DESIGNED,NARASTANIE,SOUND DESIGN,ANSCHWELLEN,DESIGNED,ASCENDENTE,DESIGNED,ASCENDENTE,声音设计,恐惧渐强,設計,漸強,DISEÑO,RISER,デザイン、効果,上昇系持続音,DESIGNET,STIGENDE,DESIGNET,STIGENDE,LJUDDESIGN,STIGANDE,DESIGN,NOUSEVA,ЗВУКОВОЙ ДИЗАЙН,НАРАСТАНИЕ,ЗВУКОВИЙ ДИЗАЙН,НАРОСТАННЯ,SPECIALI,RIZER,ONTWORPEN,RISER
DESIGNED,RUMBLE,DSGNRmbl,DSGN,Designed rumbles for layering into a mix. Earthquake rumbles. Composite rumble.,"subharmonic, rumble, shake, earthquake",DESIGN,RUMBLE,DESIGNED,ŁOSKOT,SOUND DESIGN,RUMPELN,DESIGNED,TREMOR,DESIGNED,TREMOR,声音设计,次声波,設計,次聲波,DISEÑO,RUMBLE,デザイン、効果,地鳴り音,DESIGNET,RUMLING,DESIGNET,BULDRE,LJUDDESIGN,MULLER,DESIGN,JYRINÄ,ЗВУКОВОЙ ДИЗАЙН,ГРОХОТ,ЗВУКОВИЙ ДИЗАЙН,ГУРКІТ,SPECIALI,RIMBOMBO,ONTWORPEN,
DESIGNED,STINGER,DSGNStngr,DSGN,"Stings, stylized screen sweeteners. Big trailer type sounds. Big shock scare type sounds. Stylized stings, hits and impacts.","sting, startle, trailer, cinematic",DESIGN,STINGER,DESIGNED,UDERZENIE,SOUND DESIGN,STINGER,DESIGNED,ATAQUE,DESIGNED,ATAQUE,声音设计,重音强调,設計,重音強調,DISEÑO,STINGER,デザイン、効果,シンセ系アタック音,DESIGNET,STINGER,DESIGNET,STIKKENDE,LJUDDESIGN,STINGER,DESIGN,STINGER,ЗВУКОВОЙ ДИЗАЙН,УДАР,ЗВУКОВИЙ ДИЗАЙН,УДАР,SPECIALI,STINGER,ONTWORPEN,STINGER
DESIGNED,SYNTHETIC,DSGNSynth,DSGN,"Very synthesized sounds, very electronic synth stuff. Raw work files of synth-play.","synthesized, synth, mod synth, modular synth, granular, analog synth, modular synth",DESIGN,SYNTHÉTIQUE,DESIGNED,SYNTETYCZNE,SOUND DESIGN,SYNTHETISCH,DESIGNED,SINTÉTICO,DESIGNED,SINTÉTICO,声音设计,电子合成,設計,電子合成,DISEÑO,SINTÉTICO,デザイン、効果,シンセ系持続音,DESIGNET,SYNTETISK,DESIGNET,SYNTETISK,LJUDDESIGN,SYUNTETISK,DESIGN,SYNTEETTINEN,ЗВУКОВОЙ ДИЗАЙН,СИНТЕТИЧЕСКИЕ,ЗВУКОВИЙ ДИЗАЙН,СИНТЕТИЧНІ,SPECIALI,SINTETICO,ONTWORPEN,
DESIGNED,TONAL,DSGNTonl,DSGN,Designed sounds with a particularly tonal nature. The ringing in your ear of tinnitus for example.,"tinnitus, ringing, shell shock, subjective",DESIGN,TONAL,DESIGNED,TONALNE,SOUND DESIGN,TONAL,DESIGNED,TONAL,DESIGNED,TONAL,声音设计,音乐性,設計,有音高的,DISEÑO,TONAL,デザイン、効果,アンビエント系音,DESIGNET,TONAL,DESIGNET,TONALE,LJUDDESIGN,TONAL,DESIGN,TONAALINEN,ЗВУКОВОЙ ДИЗАЙН,ТОНАЛЬНЫЕ,ЗВУКОВИЙ ДИЗАЙН,ТОНАЛЬНІ,SPECIALI,TONALE,ONTWORPEN,
DESTRUCTION,MISC,DESTRMisc,DESTR,Destruction sounds not fitting another category in this list.,,DESTRUCTION,DIVERS,DESTRUKCJA,RÓŻNE,ZERSTÖRUNG,DIV,DESTRUIÇÃO,DIVERSOS,DESTRUIÇÃO,DIVERSOS,拆除,其他,拆除,其他,DESTRUCCIÓN,MISCELÁNEA,破壊音,その他,ØDELEGGELSE,DIVERSE,ØDELÆGGELSE,DIVERSE,FÖRSTÖRELSE,DIV,TUHO,SEKALAINEN,РАЗРУШЕНИЕ,РАЗНОЕ,РУЙНУВАННЯ,РІЗНЕ,DISTRUZIONE,MISC,,
